REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 1.938	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.172	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.377	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.540	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.773	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.865	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.880	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 2.917	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.124	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.174	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.276	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.319	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.394	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.475	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.480	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.539	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.562	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.593	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.726	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.717	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.785	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.771	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.818	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.875	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.913	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.918	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.978	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.004	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 3.988	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.025	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.064	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.097	 16000	wb
